,Unnamed: 0.1,Unnamed: 0,T_REC,USFLUXL,MEANGBL,R_VALUE,AREA,HARPNUM,NOAA_ARS,label,observation_period,prediction_period
17,17,17,2017-10-22 02:00:00,-0.5110739884759615,-1.4674049302129435,0.6146370251575474,-0.5490744697196484,7169,12685,negative,D0,D0
18,18,18,2017-10-22 03:36:00,-0.5150789263124312,-1.3638412198416905,0.612907651023459,-0.5565876200697152,7169,12685,negative,D0,D0
19,19,19,2017-10-22 05:12:00,-0.5212138744027212,-1.3342969711774986,0.5592970528667115,-0.5647560088519843,7169,12685,negative,D0,D0
20,20,20,2017-10-22 06:48:00,-0.5290693014820742,-1.258530268958039,0.5777437102969902,-0.5748241951894988,7169,12685,negative,D0,D0
21,21,21,2017-10-22 08:24:00,-0.5310786254556403,-1.1679914424064837,0.6999528157725865,-0.585677563928232,7169,12685,negative,D0,D0
22,22,22,2017-10-22 10:00:00,-0.5345052204606914,-1.106520344379375,0.6198251475598134,-0.5924485675603356,7169,12685,negative,D0,D0
23,23,23,2017-10-22 11:36:00,-0.5279828451616104,-1.010898636337206,0.6763180359400419,-0.5899769052400473,7169,12685,negative,D0,D0
24,24,24,2017-10-22 13:12:00,-0.5279343468109673,-0.9835781483251576,0.662483042867333,-0.5836179950590686,7169,12685,negative,D0,D0
25,25,25,2017-10-22 14:48:00,-0.5279609276377621,-0.9384675750959616,0.8019858896838156,-0.5852285119197981,7169,12685,negative,D0,D0
26,26,26,2017-10-22 16:24:00,-0.5223907988003461,-0.847928748544406,0.7875744385664104,-0.5849141475234537,7169,12685,negative,D0,D0
27,27,27,2017-10-22 18:00:00,-0.5224934847312269,-0.8056772961536801,0.6774709520294342,-0.5859666279635309,7169,12685,negative,D0,D0
28,28,28,2017-10-22 19:36:00,-0.5074603950227579,-0.6759049780964506,0.7823863161641446,-0.5787982893607465,7169,12685,negative,D0,D0
29,29,29,2017-10-22 21:12:00,-0.4975028442412043,-0.5099171294185992,0.844643784991335,-0.5710584580981398,7169,12685,negative,D0,D0
30,30,30,2017-10-22 22:48:00,-0.4856913507402604,-0.4327208667799044,0.8515612815276895,-0.5588555767523724,7169,12685,negative,D0,D0
31,31,31,2017-10-23 00:24:00,-0.4771284073378721,-0.4787844802885904,0.8751960613602343,-0.5395927516896105,7169,12685,negative,D0,D0
32,32,32,2017-10-23 02:00:00,-0.4692879960940067,-0.4743369589843037,0.770280697225524,-0.5165442840651528,7169,12685,negative,D0,D0
33,33,33,2017-10-23 03:36:00,-0.4627689783730471,-0.5076933687664553,0.6999528157725865,-0.4985381726313234,7169,12685,negative,D0,D0
34,34,34,2017-10-23 05:12:00,-0.4638766060888877,-0.5332666162661054,0.5154862414697996,-0.4945130126699582,7169,12685,negative,D0,D0
35,35,35,2017-10-23 06:48:00,-0.4703111247604576,-0.5761534288431579,0.3258315447647465,-0.4928280828929787,7169,12685,negative,D0,D0
36,36,36,2017-10-23 08:24:00,-0.4758371387520002,-0.5469268602721293,0.0030150397348691,-0.4926445306265004,7169,12685,negative,D0,D0
37,37,37,2017-10-23 10:00:00,-0.4852706275484317,-0.5437500593404958,0.1500118411324028,-0.492730818652228,7169,12685,negative,D0,D0
38,38,38,2017-10-23 11:36:00,-0.483586429056292,-0.4378037482705181,0.3212198804071768,-0.4957169546666827,7169,12685,negative,D0,D0
39,39,39,2017-10-23 13:12:00,-0.4859840196331795,-0.4176310623546448,0.6405776371688771,-0.4992035498513043,7169,12685,negative,D0,D0
40,40,40,2017-10-23 14:48:00,-0.4872879724030657,-0.3553657640946278,0.717246557113473,-0.5045346599472145,7169,12685,negative,D0,D0
41,41,41,2017-10-23 16:24:00,-0.4775593897961829,-0.3112082311449221,0.6503774239287126,-0.5072228643922636,7169,12685,negative,D0,D0
42,42,42,2017-10-23 18:00:00,-0.453059142244009,-0.2822993426670572,0.521827279961458,-0.4826573613744128,7169,12685,negative,D0,D0
43,43,43,2017-10-23 19:36:00,-0.4308275915752827,-0.1657107484761065,0.1713407887861625,-0.4593957003181841,7169,12685,negative,D0,D0
44,44,44,2017-10-23 21:12:00,-0.4099408442102534,-0.1310836183213011,0.4878162553243814,-0.4295222174173415,7169,12685,negative,D0,D0
45,45,45,2017-10-23 22:48:00,-0.3986562106761994,-0.0851788448591964,0.2918205201276703,-0.4091342045863461,7169,12685,negative,D0,D0
46,46,46,2017-10-24 00:24:00,-0.3834529104101849,-0.066753399455722,0.5149097834251034,-0.3829542162627359,7169,12685,negative,D0,D0
47,47,47,2017-10-24 02:00:00,-0.3768171235834462,-0.0694536802476105,0.4359350313017227,-0.3662959121018439,7169,12685,negative,D0,D0
48,48,48,2017-10-24 03:36:00,-0.3744355747686945,0.0086956226705737,0.2180338904065554,-0.3598859051431456,7169,12685,negative,D0,D0
49,49,49,2017-10-24 05:12:00,-0.3747418605062173,0.0160022648133307,0.1200360228081998,-0.3503616474854814,7169,12685,negative,D0,D0
50,50,50,2017-10-24 06:48:00,-0.3729555356795505,0.0322039495646618,0.0710370890090221,-0.3365609928033083,7169,12685,negative,D0,D0
51,51,51,2017-10-24 08:24:00,-0.3678051041073149,0.0247384673753235,0.0641195924726675,-0.3221277026046241,7169,12685,negative,D0,D0
52,52,52,2017-10-24 10:00:00,-0.3604383911767497,0.0061541819252672,-1.420259872620072,-0.2980791228254779,7169,12685,negative,D0,D0
53,53,53,2017-10-24 11:36:00,-0.3438074673467092,0.113688893461062,0.2820207333678345,-0.2713582443849908,7169,12685,negative,D0,D0
54,54,54,2017-10-24 13:12:00,-0.3328581252945049,0.0658780394399771,-0.0425251457961312,-0.2321308789962071,7169,12685,negative,D0,D0
55,55,55,2017-10-24 14:48:00,-0.3049313760033388,-0.0030585407764699,-0.0235020303211563,-0.1703715351412459,7169,12685,negative,D0,D0
56,56,56,2017-10-24 16:24:00,-0.2838717133650553,0.0107605432761358,-0.355541864066173,-0.1265717943934611,7169,12685,negative,D0,D0
57,57,57,2017-10-24 18:00:00,-0.2768471003386417,0.05761835701773,0.3667600659381775,-0.1061096162930348,7169,12685,negative,D0,D0
58,58,58,2017-10-24 19:36:00,-0.2779560337793073,0.0337923500304788,-0.0707715899862454,-0.0967732517060961,7169,12685,negative,D0,D0
59,59,59,2017-10-24 21:12:00,-0.2795963039576914,0.0450699933377775,0.178258285322517,-0.0937492892274798,7169,12685,negative,D0,D0
60,60,60,2017-10-24 22:48:00,-0.2770603065493534,0.0299801889125184,-0.2362150488140577,-0.0979663419461991,7169,12685,negative,D0,D0
61,61,61,2017-10-25 00:24:00,-0.2757675457065386,0.1394209810072934,0.3592661113571268,-0.1025427479794309,7169,12685,negative,D0,D0
62,62,62,2017-10-25 02:00:00,-0.2725902508770048,0.1246488566751975,0.0243439873886289,-0.0913711083745276,7169,12685,negative,D0,D0
63,63,63,2017-10-25 03:36:00,-0.2573536546279526,0.112100492995245,-1.420259872620072,-0.0544240086043068,7169,12685,negative,D0,D0
64,64,64,2017-10-25 05:12:00,-0.2524985966643451,0.1033642904332528,-1.420259872620072,-0.0324085810176164,7169,12685,negative,D0,D0
65,65,65,2017-10-25 06:48:00,-0.2469501055526007,0.1249665367683606,-1.420259872620072,-0.0216847221674749,7169,12685,negative,D0,D0
